Unix Timestamp,Symbol,Close
1639972800000,LTCUSD,152.69
1639886400000,LTCUSD,154.86
1639800000000,LTCUSD,154.43
1639713600000,LTCUSD,146.53
1639627200000,LTCUSD,149.74
1639540800000,LTCUSD,153.34
1639454400000,LTCUSD,150.22
1639368000000,LTCUSD,145.82
1639281600000,LTCUSD,154.64
1639195200000,LTCUSD,156.4
1639108800000,LTCUSD,151.83
1639022400000,LTCUSD,153.96
1638936000000,LTCUSD,159.76
1638849600000,LTCUSD,160.1
1638763200000,LTCUSD,160.26
1638676800000,LTCUSD,154.71
1638590400000,LTCUSD,162.12
1638504000000,LTCUSD,175.97
1638417600000,LTCUSD,200.33
1638331200000,LTCUSD,202.57
1638244800000,LTCUSD,212.78
1638158400000,LTCUSD,203.62
1638072000000,LTCUSD,199.01
1637985600000,LTCUSD,189.31
1637899200000,LTCUSD,198.13
1637812800000,LTCUSD,216.23
1637726400000,LTCUSD,219.91
1637640000000,LTCUSD,210.58
1637553600000,LTCUSD,210.68
1637467200000,LTCUSD,215.11
1637380800000,LTCUSD,221.92
1637294400000,LTCUSD,221.67
1637208000000,LTCUSD,202
1637121600000,LTCUSD,221.82
1637035200000,LTCUSD,222.83
1636948800000,LTCUSD,244.77
1636862400000,LTCUSD,278.63
1636776000000,LTCUSD,255.79
1636689600000,LTCUSD,246.69
1636603200000,LTCUSD,275.87
1636516800000,LTCUSD,257.25
1636430400000,LTCUSD,257.42
1636344000000,LTCUSD,247.47
1636257600000,LTCUSD,205.8
1636171200000,LTCUSD,199.43
1636084800000,LTCUSD,200.29
1635998400000,LTCUSD,201.14
1635912000000,LTCUSD,203.6
1635825600000,LTCUSD,201.54
1635739200000,LTCUSD,195.96
1635652800000,LTCUSD,188.89
1635566400000,LTCUSD,192.75
1635480000000,LTCUSD,191.77
1635393600000,LTCUSD,193.05
1635307200000,LTCUSD,182.04
1635220800000,LTCUSD,202.48
1635134400000,LTCUSD,196.65
1635048000000,LTCUSD,193.84
1634961600000,LTCUSD,198.31
1634875200000,LTCUSD,193.61
1634788800000,LTCUSD,200.49
1634702400000,LTCUSD,208.85
1634616000000,LTCUSD,185.8
1634529600000,LTCUSD,190.98
1634443200000,LTCUSD,185.8
1634356800000,LTCUSD,187.24
1634270400000,LTCUSD,189.4
1634184000000,LTCUSD,184.34
1634097600000,LTCUSD,180.53
1634011200000,LTCUSD,174.19
1633924800000,LTCUSD,173.65
1633838400000,LTCUSD,180.31
1633752000000,LTCUSD,181.88
1633665600000,LTCUSD,177.7
1633579200000,LTCUSD,176.16
1633492800000,LTCUSD,176.48
1633406400000,LTCUSD,171.69
1633320000000,LTCUSD,168.68
1633233600000,LTCUSD,165.85
1633147200000,LTCUSD,168.27
1633060800000,LTCUSD,166
1632974400000,LTCUSD,153.7
1632888000000,LTCUSD,150.8
1632801600000,LTCUSD,144.34
1632715200000,LTCUSD,147.27
1632628800000,LTCUSD,153.01
1632542400000,LTCUSD,148.5
1632456000000,LTCUSD,154.38
1632369600000,LTCUSD,161.43
1632283200000,LTCUSD,161.37
1632196800000,LTCUSD,151.48
1632110400000,LTCUSD,159.47
1632024000000,LTCUSD,167.01
1631937600000,LTCUSD,179.44
1631851200000,LTCUSD,182.08
1631764800000,LTCUSD,185.96
1631678400000,LTCUSD,187.92
1631592000000,LTCUSD,181.22
1631505600000,LTCUSD,178.47
1631419200000,LTCUSD,175.54
1631332800000,LTCUSD,178.68
1631246400000,LTCUSD,174.8
1631160000000,LTCUSD,183.93
1631073600000,LTCUSD,179.46
1630987200000,LTCUSD,178.56
1630900800000,LTCUSD,219.06
1630814400000,LTCUSD,224.53
1630728000000,LTCUSD,213.34
1630641600000,LTCUSD,213.49
1630555200000,LTCUSD,185.79
1630468800000,LTCUSD,182.35
1630382400000,LTCUSD,172.12
1630296000000,LTCUSD,169.14
1630209600000,LTCUSD,172.32
1630123200000,LTCUSD,176.56
1630036800000,LTCUSD,174.12
1629950400000,LTCUSD,167.61
1629864000000,LTCUSD,171.67
1629777600000,LTCUSD,174
1629691200000,LTCUSD,185.25
1629604800000,LTCUSD,188.83
